Marital Status,Course,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Gender,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,isDisplaced,hasSpecialNeeds,tuitionToDate,hasScholarship,isDebtor,AttendanceTime,Nationality
Single,Nursing,Secondary,139.0,Basic,Basic,9,9,124.0,Male,18,0,0,8,8,7,13.33142857,0,0,8,8,7,13.33142857,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Communication Design,Secondary,139.3,Basic,Basic,5,5,117.5,Male,28,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout,False,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Higher,150.0,Basic,Secondary,9,9,154.8,Male,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,138.0,Basic,Basic,4,9,141.0,Male,19,0,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Advertising and Marketing Management,Below secondary,133.1,Higher,Higher,3,3,120.0,Male,26,0,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout,False,False,False,False,True,Day,Portuguese
Single,Informatics Engineering,Secondary,136.0,Secondary,Basic,3,5,133.6,Male,20,0,4,9,12,9,13.45454545,0,2,7,9,6,13.875,0,11.1,0.6,2.02,Dropout,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,134.0,Basic,Basic,9,9,122.0,Male,19,0,0,8,8,7,12.2,0,0,8,8,7,12.2,0,12.7,3.7,-1.7,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,140.0,Basic,Basic,7,3,120.0,Male,21,0,0,5,8,3,10.0,0,0,5,10,4,11.0,0,12.7,3.7,-1.7,Dropout,True,False,True,False,False,Day,Portuguese
Single,Advertising and Marketing Management,Higher,110.0,Secondary,Basic,9,9,114.2,Male,23,0,0,6,7,5,13.0,0,0,6,7,6,12.85714286,0,8.9,1.4,3.51,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Social Service (evening attendance),Below secondary,133.1,Basic,Basic,4,8,95.5,Male,29,0,0,6,11,6,12.0,0,0,6,6,6,14.0,0,11.1,0.6,2.02,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Single,Nursing,Secondary,129.0,Secondary,Secondary,9,9,120.0,Male,20,0,0,8,8,7,15.02857143,0,0,8,8,7,15.02857143,0,12.7,3.7,-1.7,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Social Service,Secondary,116.0,Secondary,Basic,5,9,111.1,Male,18,0,0,6,8,6,12.0,0,0,6,7,6,11.71428571,0,15.5,2.8,-4.06,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,130.0,Secondary,Basic,3,5,128.6,Male,19,0,0,6,8,5,12.0,0,0,6,8,5,12.4,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Oral Hygiene,Higher,130.0,Secondary,Basic,4,8,130.0,Male,23,0,3,7,7,3,13.66666667,0,3,8,8,3,11.33333333,4,10.8,1.4,1.74,Dropout,False,False,False,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,116.0,Basic,Secondary,5,1,111.1,Male,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout,False,False,True,False,False,Day,Portuguese
Single,Management,Secondary,136.0,Secondary,Secondary,9,3,122.7,Male,18,0,0,5,6,5,12.0,0,0,5,7,4,12.5,0,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,147.0,Basic,Basic,7,7,134.4,Male,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Communication Design,Secondary,117.0,Basic,Basic,5,5,131.0,Male,21,0,0,6,6,1,14.0,0,0,6,7,0,0.0,7,9.4,-0.8,-3.12,Dropout,True,False,False,False,True,Day,Portuguese
Single,Social Service,Secondary,141.0,Secondary,Secondary,5,9,125.0,Male,22,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,11.1,0.6,2.02,Dropout,False,False,True,False,False,Day,Portuguese
Single,Oral Hygiene,Secondary,133.1,Higher,Basic,2,8,106.0,Male,21,0,0,7,8,7,12.375,0,0,7,11,5,12.58333333,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,133.1,Basic,Basic,9,9,128.0,Male,32,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Dropout,True,False,False,False,False,Day,Portuguese
Single,Agronomy,Higher,120.0,Secondary,Basic,4,1,120.0,Male,27,0,14,18,21,18,11.42105263,0,10,13,16,13,11.07692308,1,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,148.0,Basic,Basic,9,8,134.8,Male,18,0,0,7,7,6,13.35,0,0,7,7,6,13.35,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Communication Design,Secondary,130.0,Secondary,Secondary,5,3,112.0,Male,24,0,0,6,6,6,15.0,0,0,6,6,2,16.0,0,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Equinculture,Secondary,120.0,Basic,Basic,1,9,116.1,Male,22,0,0,5,9,2,10.5,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,True,False,True,False,False,Day,Portuguese
Single,Equinculture,Secondary,120.0,Higher,Higher,3,2,120.0,Male,22,0,0,6,0,0,0.0,0,0,4,6,0,0.0,2,10.8,1.4,1.74,Dropout,True,False,False,False,False,Day,Portuguese
Single,Management,Secondary,133.0,Basic,Basic,9,5,119.7,Male,19,0,0,5,8,5,13.25,0,0,5,6,5,11.83333333,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Informatics Engineering,Secondary,129.0,Basic,Basic,4,90,117.1,Male,19,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,True,False,True,False,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,118.0,Secondary,Basic,3,3,112.4,Male,21,0,0,5,7,4,11.5,0,0,5,15,3,10.6,4,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,140.0,Secondary,Secondary,2,7,131.0,Female,18,0,0,8,8,8,13.88125,0,0,8,8,8,13.88125,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Tourism,Secondary,127.0,Higher,Basic,3,10,130.9,Female,18,0,0,6,8,6,11.33333333,0,0,6,8,5,12.6,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,131.0,Basic,Basic,9,9,134.9,Female,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout,True,False,True,False,True,Day,Portuguese
Single,Social Service,Secondary,132.0,Secondary,Basic,4,9,127.1,Female,19,0,0,6,7,6,12.85714286,0,0,6,7,6,13.66666667,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,113.0,Basic,Basic,191,175,110.2,Female,19,0,0,6,6,5,11.6,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,False,True,Day,Portuguese
Single,Tourism,Secondary,115.0,Basic,Secondary,9,3,108.7,Female,18,0,0,6,9,5,11.4,0,0,6,6,6,11.33333333,0,12.4,0.5,1.79,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Equinculture,Secondary,133.1,Secondary,Secondary,3,9,138.0,Female,20,0,0,6,11,6,13.33333333,0,0,6,10,6,13.0,0,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Communication Design,Higher,150.0,Basic,Basic,3,9,147.7,Female,22,0,2,7,7,7,13.57142857,0,5,9,9,9,13.77777778,0,12.4,0.5,1.79,Graduate/Enrolled,False,False,True,True,True,Day,Portuguese
Married,Oral Hygiene,Below secondary,133.1,Basic,Basic,9,9,123.0,Female,31,0,0,7,13,6,11.83333333,0,0,7,8,7,12.22857143,0,12.4,0.5,1.79,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Basic Education,Secondary,141.0,Basic,Basic,9,8,142.8,Female,19,0,0,7,7,7,14.42857143,0,0,7,7,7,14.14285714,0,16.2,0.3,-0.92,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,140.0,Secondary,Higher,3,3,138.3,Female,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Tourism,Secondary,136.0,Basic,Basic,9,7,125.2,Female,18,0,0,6,8,6,12.28571429,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,140.0,Basic,Secondary,1,90,141.8,Female,21,0,0,5,7,5,14.4,0,0,5,5,5,13.8,0,7.6,2.6,0.32,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,143.0,Basic,Secondary,9,7,130.6,Female,18,0,0,7,8,7,13.15,0,0,8,9,8,15.06875,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Management,Higher,130.0,Higher,Basic,2,8,130.0,Male,25,1,0,5,6,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,False,False,False,False,True,Day,Cape Verdean
Single,Informatics Engineering,Secondary,133.1,Secondary,Higher,5,8,100.0,Male,21,1,0,5,5,0,0.0,0,0,6,8,0,0.0,0,11.1,0.6,2.02,Dropout,False,False,True,False,True,Day,Brazilian
Single,Nursing,Secondary,129.0,Basic,Basic,5,5,119.0,Female,19,0,0,8,8,7,12.34285714,0,0,8,8,7,12.34285714,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Journalism and Communication,Secondary,132.0,Basic,Secondary,9,9,124.3,Female,19,0,0,6,6,5,12.2,0,0,6,7,5,10.8,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Tourism,Secondary,118.0,Basic,Unknown,5,0,122.2,Female,22,0,0,6,10,4,10.5,0,0,6,14,1,11.0,0,7.6,2.6,0.32,Dropout,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,150.0,Basic,Secondary,9,1,150.0,Male,19,0,0,5,5,5,10.6,0,0,5,8,5,11.6,0,12.4,0.5,1.79,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Social Service (evening attendance),Below secondary,133.1,Basic,Basic,9,5,135.5,Female,58,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout,False,False,True,False,False,Evening,Portuguese
Single,Social Service,Secondary,122.0,Basic,Basic,9,7,127.3,Female,19,0,0,6,8,4,11.25,0,0,6,6,6,12.0,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,127.0,Basic,Basic,9,9,127.0,Male,23,1,3,9,11,6,10.5,0,4,10,10,10,11.7,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,False,False,Day,Cape Verdean
Single,Journalism and Communication,Secondary,122.0,Basic,Basic,9,9,126.9,Female,19,0,0,6,11,4,11.0,0,0,6,11,3,11.66666667,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Nursing,Secondary,131.0,Basic,Secondary,4,7,127.5,Female,18,0,0,7,7,7,13.45714286,0,0,8,8,8,14.5125,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,130.0,Basic,Basic,90,90,122.0,Female,20,0,0,5,6,5,12.6,0,0,5,8,4,12.33333333,0,7.6,2.6,0.32,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,130.0,Basic,Basic,90,7,115.8,Female,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,False,False,False,False,False,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,130.0,Higher,Basic,5,5,121.6,Female,18,0,0,6,6,6,13.66666667,0,0,6,8,5,13.6,0,8.9,1.4,3.51,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Management,Secondary,122.0,Basic,Basic,5,7,116.4,Female,18,0,0,5,5,5,11.6,0,0,5,5,5,11.8,0,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,True,True,Day,Portuguese
Single,Equinculture,Secondary,114.0,Basic,Basic,9,10,120.0,Female,24,0,0,6,9,6,12.57142857,0,0,6,10,5,12.83333333,0,11.1,0.6,2.02,Dropout,False,False,True,False,False,Day,Portuguese
Single,Basic Education,Secondary,143.0,Basic,Basic,9,5,127.3,Female,18,0,0,6,7,5,11.8,0,0,6,7,5,11.4,0,10.8,1.4,1.74,Dropout,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,127.0,Secondary,Basic,5,7,123.5,Female,19,0,0,5,5,5,11.6,0,0,5,11,3,12.66666667,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Social Service,Secondary,141.0,Basic,Basic,9,7,125.6,Female,19,0,0,6,8,6,11.33333333,0,0,6,6,6,11.83333333,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Tourism,Secondary,129.0,Basic,Basic,6,6,118.5,Female,18,0,0,6,6,6,10.66666667,0,0,6,6,6,11.5,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Equinculture,Secondary,140.0,Basic,Basic,9,9,129.5,Female,18,0,0,5,10,4,13.5,1,0,5,5,5,13.4,0,12.7,3.7,-1.7,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,137.0,Basic,Basic,5,5,134.6,Female,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,140.0,Higher,Higher,2,6,140.0,Female,22,0,2,6,9,6,13.33333333,0,1,6,9,4,11.5,0,13.9,-0.3,0.79,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Tourism,Secondary,143.0,Higher,Basic,1,1,133.2,Female,19,0,0,6,9,5,13.4,0,0,6,16,2,13.5,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Widower,Social Service,Secondary,138.0,Basic,Basic,9,9,133.5,Female,21,0,0,6,8,3,10.2,0,0,6,13,4,12.25,0,12.7,3.7,-1.7,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Journalism and Communication,Secondary,120.0,Basic,Basic,9,7,117.9,Female,21,0,0,6,6,5,13.0,0,0,6,7,6,12.83333333,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Nursing,Secondary,144.0,Basic,Basic,5,7,128.0,Female,18,0,0,8,11,7,12.90857143,0,0,8,11,7,12.90857143,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Basic Education,Secondary,123.0,Secondary,Basic,4,9,113.2,Female,20,0,0,6,12,4,12.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Dropout,True,False,True,False,False,Day,Portuguese
Single,Tourism,Secondary,129.0,Basic,Basic,7,7,122.0,Female,18,0,0,6,9,6,10.83333333,0,0,6,8,5,11.0,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Communication Design,Secondary,152.0,Secondary,Basic,4,8,156.9,Female,19,0,0,6,6,6,15.33333333,0,0,6,9,6,15.83333333,0,12.7,3.7,-1.7,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,130.0,Secondary,Basic,9,9,125.1,Female,18,0,0,7,9,6,12.81666667,0,0,8,11,6,12.875,0,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Management,Secondary,133.1,Higher,Secondary,3,4,100.0,Male,26,1,6,7,7,6,13.0,0,2,6,6,2,14.0,0,11.1,0.6,2.02,Dropout,False,False,False,False,True,Day,Brazilian
Single,Informatics Engineering,Secondary,160.0,Secondary,Higher,143,152,160.0,Female,19,1,0,6,11,2,13.5,1,0,5,11,2,11.0,0,8.9,1.4,3.51,Graduate/Enrolled,False,False,True,False,True,Day,Turkish
Married,Social Service (evening attendance),Secondary,140.0,Basic,Basic,9,9,101.0,Female,35,0,0,6,7,6,12.5,0,0,6,6,6,12.16666667,0,15.5,2.8,-4.06,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Single,Advertising and Marketing Management,Secondary,133.0,Secondary,Secondary,9,9,121.5,Female,19,0,0,6,7,6,13.0,0,0,6,6,6,14.33333333,0,12.4,0.5,1.79,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,138.0,Basic,Basic,9,6,126.8,Male,18,0,0,5,6,4,11.75,0,0,5,10,5,12.57142857,1,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,142.0,Basic,Basic,7,3,132.9,Male,19,0,0,5,5,4,12.5,0,0,5,5,4,14.25,0,7.6,2.6,0.32,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,115.0,Secondary,Secondary,9,9,134.3,Male,25,0,16,17,19,17,11.61111111,0,14,17,22,17,12.05555556,0,12.4,0.5,1.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Tourism,Secondary,125.0,Secondary,Secondary,4,3,120.5,Male,18,0,0,6,6,6,14.0,0,0,6,6,6,14.66666667,0,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Agronomy,Secondary,170.0,Secondary,Higher,9,5,144.1,Male,26,0,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout,True,False,False,False,True,Day,Portuguese
Single,Management (evening attendance),Secondary,140.0,Secondary,Secondary,6,6,100.0,Male,34,0,0,5,5,5,13.8,0,0,5,6,5,13.83333333,0,9.4,-0.8,-3.12,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Single,Tourism,Secondary,110.0,Higher,Basic,4,3,114.8,Male,18,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,True,False,False,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,114.0,Higher,Basic,3,5,111.9,Male,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,False,False,False,False,False,Day,Portuguese
Single,Informatics Engineering,Secondary,138.0,Secondary,Basic,4,3,125.4,Male,18,0,0,5,9,4,12.25,0,0,5,9,3,12.33333333,0,8.9,1.4,3.51,Dropout,True,False,True,True,False,Day,Portuguese
Single,Agronomy,Higher,140.0,Basic,Basic,9,4,140.0,Male,20,0,0,6,12,3,11.5,0,0,6,12,3,13.66666667,0,12.4,0.5,1.79,Dropout,False,False,True,False,False,Day,Portuguese
Single,Communication Design,Higher,140.0,Secondary,Basic,4,4,140.0,Male,25,0,2,7,9,6,12.57142857,0,5,9,9,9,12.55555556,0,16.2,0.3,-0.92,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Equinculture,Secondary,132.0,Higher,Secondary,4,1,127.8,Male,18,0,0,6,9,6,12.0,0,0,6,10,5,12.16666667,0,11.1,0.6,2.02,Dropout,False,False,True,False,False,Day,Portuguese
Single,Agronomy,Secondary,148.0,Basic,Basic,9,9,131.6,Male,19,0,8,12,17,11,12.0,2,4,12,21,12,12.30769231,0,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,132.0,Secondary,Secondary,4,1,119.4,Male,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,True,False,True,False,False,Day,Portuguese
Single,Social Service,Secondary,126.0,Basic,Basic,5,7,129.9,Male,20,0,1,7,9,6,12.0,0,2,6,6,6,11.16666667,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Informatics Engineering,Secondary,121.0,Higher,Secondary,2,3,114.0,Male,20,0,0,5,9,4,11.6,0,0,5,7,4,12.25,2,7.6,2.6,0.32,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Management,Secondary,120.0,Secondary,Basic,4,9,113.4,Male,19,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout,True,False,True,True,False,Day,Portuguese
Single,Management,Secondary,123.0,Secondary,Basic,4,5,117.8,Male,20,0,0,5,9,5,12.0,0,0,5,9,4,13.0,0,8.9,1.4,3.51,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,122.0,Secondary,Secondary,3,7,114.3,Male,18,0,0,7,8,6,13.97666667,0,0,8,12,6,12.04166667,1,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,136.0,Higher,Basic,143,163,129.7,Male,19,0,0,6,10,4,12.5,0,0,6,12,1,10.0,3,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,119.0,Basic,Basic,7,7,112.0,Male,20,0,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,True,False,False,False,False,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,120.0,Basic,Basic,7,7,140.0,Male,24,0,0,6,15,4,10.5,0,0,6,16,4,12.5,0,15.5,2.8,-4.06,Dropout,False,False,True,False,False,Day,Portuguese
Single,Agronomy,Higher,150.0,Basic,Basic,9,8,150.0,Male,20,0,0,6,8,5,12.85714286,0,0,6,11,6,12.3,0,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,121.0,Higher,Basic,2,8,122.4,Male,19,0,0,5,7,3,11.66666667,0,0,5,5,4,12.0,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Informatics Engineering,Secondary,140.0,Secondary,Basic,4,4,150.0,Male,23,0,0,5,7,2,13.0,0,0,5,11,1,10.0,0,8.9,1.4,3.51,Dropout,False,False,True,False,False,Day,Portuguese
Single,Tourism,Secondary,135.0,Basic,Basic,4,3,135.0,Male,20,0,0,6,8,6,11.83333333,0,0,6,9,5,10.4,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Social Service (evening attendance),Secondary,116.0,Unknown,Unknown,0,0,116.2,Male,21,0,9,11,11,11,12.45454545,0,3,11,17,8,12.75,0,9.4,-0.8,-3.12,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Single,Informatics Engineering,Secondary,120.0,Basic,Basic,9,9,120.4,Male,20,0,0,5,6,3,11.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout,True,False,True,False,False,Day,Portuguese
Married,Informatics Engineering,Secondary,126.0,Basic,Basic,4,4,122.9,Male,21,0,0,5,10,4,13.2,0,0,5,7,4,14.25,2,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,170.0,Secondary,Basic,9,7,155.0,Male,18,0,0,6,6,6,15.5,0,0,6,6,6,14.16666667,0,11.1,0.6,2.02,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Tourism,Secondary,123.0,Secondary,Secondary,4,3,123.4,Male,18,0,0,6,8,6,12.33333333,0,0,6,6,6,13.66666667,0,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,120.0,Higher,Basic,3,7,124.2,Male,18,0,0,5,13,5,12.0,0,0,5,9,4,11.4,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Agronomy,Higher,130.0,Higher,Higher,7,1,130.0,Male,20,0,0,6,12,4,11.6,0,0,6,11,5,11.5,0,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,130.0,Basic,Basic,4,9,126.2,Male,18,0,0,6,7,6,11.33333333,0,0,6,8,6,12.28571429,0,16.2,0.3,-0.92,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Journalism and Communication,Secondary,117.0,Basic,Basic,0,4,120.5,Male,19,0,0,6,12,0,0.0,1,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,True,False,True,False,False,Day,Portuguese
Single,Informatics Engineering,Secondary,131.0,Secondary,Higher,9,10,123.7,Male,20,0,0,5,7,4,12.0,0,0,5,8,2,12.5,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Equinculture,Secondary,130.0,Basic,Basic,4,7,122.5,Male,19,0,0,5,11,4,12.0,1,0,5,9,5,12.6,0,9.4,-0.8,-3.12,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Management (evening attendance),Secondary,133.0,Basic,Basic,9,5,139.2,Male,33,0,0,5,11,2,12.5,0,0,5,9,2,11.5,1,12.7,3.7,-1.7,Dropout,True,False,True,False,True,Evening,Portuguese
Single,Animation and Multimedia Design,Secondary,128.0,Higher,Secondary,3,3,131.2,Male,21,0,6,12,12,12,13.66666667,0,4,11,16,11,13.0,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Married,Agronomy,Secondary,133.1,Secondary,Basic,4,4,120.0,Male,25,0,0,6,17,2,14.5,2,0,6,13,0,0.0,1,15.5,2.8,-4.06,Dropout,False,False,False,False,True,Day,Portuguese
Single,Veterinary Nursing,Secondary,123.0,Secondary,Secondary,4,9,116.7,Male,20,0,0,6,10,4,13.2,0,0,6,8,0,0.0,0,12.4,0.5,1.79,Dropout,True,False,True,True,False,Day,Portuguese
Single,Veterinary Nursing,Higher,150.0,Secondary,Secondary,9,4,150.0,Male,22,0,1,7,11,5,12.16666667,0,4,8,14,5,14.8,0,8.9,1.4,3.51,Dropout,True,False,True,True,False,Day,Portuguese
Divorced,Journalism and Communication,Below secondary,133.1,Basic,Basic,9,1,117.5,Female,39,0,0,6,10,4,11.25,0,0,6,6,6,11.33333333,0,10.8,1.4,1.74,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
